ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
,,,,,,,,,,,,,129992,,,,,,,,,,,,,,,,,,,,,13651,,,,,,,,,,,22955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,,,6221
,,,,,,,,,,,,,125409,,,,,,,,,,,,,,,,,,,,,13381,,,,,,,,,,,22400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,,,6213
,,,,,,,,,,,,,124973,,,,,,,,,,,,,,,,,,,,,13374,,,,,,,,,,,22178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,5800
,,,,,,,,,,,,,124145,,,,,,,,,,,,,,,,,,,,,13000,,,,,,,,,,,19144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,5511
,,,,,,,,,,,,,123717,,,,,,,,,,,,,,,,,,,,,12549,,,,,,,,,,,19100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4070
,,,,,,,,,,,,,122932,,,,,,,,,,,,,,,,,,,,,11900,,,,,,,,,,,18600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000
,,,,,,,,,,,,,121607,,,,,,,,,,,,,,,,,,,,,11764,,,,,,,,,,,18158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3899
,,,,,,,,,,,,,120000,,,,,,,,,,,,,,,,,,,,,11688,,,,,,,,,,,16900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200
,,,,,,,,,,,,,119549,,,,,,,,,,,,,,,,,,,,,11688,,,,,,,,,,,16600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800
,,,,,,,,,,,,,118590,,,,,,,,,,,,,,,,,,,,,11684,,,,,,,,,,,16311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2708
,,,,,,,,,,,,,118412,,,,,,,,,,,,,,,,,,,,,11300,,,,,,,,,,,16306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076
,,,,,,,,,,,,,115355,,,,,,,,,,,,,,,,,,,,,9945,,,,,,,,,,,15733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833
,,,,,,,,,,,,,111100,,,,,,,,,,,,,,,,,,,,,9362,,,,,,,,,,,14973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1802
,,,,,,,,,,,,,110000,,,,,,,,,,,,,,,,,,,,,9210,,,,,,,,,,,14016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1802
,,,,,,,,,,,,,108438,,,,,,,,,,,,,,,,,,,,,9200,,,,,,,,,,,13163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326
,,,,,,,,,,,,,107000,,,,,,,,,,,,,,,,,,,,,9057,,,,,,,,,,,13151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051
